matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
21494,Slovenia,France,L,0,3,23,27,23,,,37,7,3,63,61,93
21494,France,Slovenia,W,3,0,25,29,25,,,42,10,7,56,58,96
21495,Germany,Iran,W,3,1,25,23,26,25.0,,57,3,6,55,75,104
21495,Iran,Germany,L,1,3,22,25,24,22.0,,60,9,1,46,79,108
21496,Bulgaria,T端rkiye,L,0,3,20,20,21,,,35,9,1,40,63,79
21496,T端rkiye,Bulgaria,W,3,0,25,25,25,,,36,5,9,49,48,76
21497,Serbia,Argentina,L,1,3,25,18,23,12.0,,38,9,3,58,75,94
21497,Argentina,Serbia,W,3,1,18,25,25,25.0,,54,9,7,59,64,107
21498,Brazil,Italy,W,3,2,25,21,33,17.0,15.0,69,8,7,99,102,142
21498,Italy,Brazil,L,2,3,22,25,31,25.0,13.0,67,6,9,104,90,143
21499,USA,Poland,L,0,3,20,21,22,,,36,6,7,45,63,75
21499,Poland,USA,W,3,0,25,25,25,,,40,7,5,48,52,71
21500,Slovenia,Japan,L,0,3,25,15,16,,,33,7,3,55,64,94
21500,Japan,Slovenia,W,3,0,27,25,25,,,48,4,6,55,49,87
21501,Iran,Netherlands,W,3,2,25,22,21,25.0,15.0,62,7,4,77,74,116
21501,Netherlands,Iran,L,2,3,19,25,25,19.0,9.0,57,13,4,74,95,131
21502,T端rkiye,France,L,0,3,20,18,19,,,26,6,2,38,59,84
21502,France,T端rkiye,W,3,0,25,25,25,,,40,6,8,44,47,81
21503,Cuba,Argentina,L,2,3,25,23,21,25.0,11.0,59,8,7,58,85,117
21503,Argentina,Cuba,W,3,2,23,25,25,21.0,15.0,62,9,5,62,82,122
21504,Bulgaria,Ukraine,L,1,3,25,19,24,22.0,,50,10,5,51,79,111
21504,Ukraine,Bulgaria,W,3,1,20,25,26,25.0,,58,11,5,75,76,124
21505,China,Canada,L,0,3,23,20,23,,,34,4,5,37,63,77
21505,Canada,China,W,3,0,25,25,25,,,44,7,9,52,62,87
21506,Germany,Serbia,W,3,1,25,25,23,25.0,,61,7,6,55,70,98
21506,Serbia,Germany,L,1,3,20,21,25,17.0,,49,6,5,50,82,103
21507,Brazil,Poland,W,3,1,25,25,21,28.0,,65,8,3,92,77,135
21507,Poland,Brazil,L,1,3,21,21,25,26.0,,49,14,3,88,83,119
21508,USA,Italy,L,0,3,21,22,18,,,40,2,1,38,59,72
21508,Italy,USA,W,3,0,25,25,25,,,38,6,8,41,45,73
